"*Channel Name","Product Name on Channel","Selling Price","*Channel Product id","*Channel SKU Code","Master SKU Code"
"MAGENTO","Darjeeling Organic Leaf Green Tea","0.00","","SN8_100g-SN8_100g","SN8_100g-SN8_100g"
"MAGENTO","Lemon Ginger Green Tea","0.00","","SN63_100g-SN63_100g","SN63_100g-SN63_100g"
"MAGENTO","Tulsi Ginger Green Tea","0.00","","SN81_100g-SN81_10g","SN81_100g-SN81_10g"
"MAGENTO"," Cardamom Tea ","0.00","","SN79_100g-SN79_50g","SN79_100g-SN79_50g"
"MAGENTO","English Breakfast Tea","0.00","","SN55_100g-SN55_100g","SN55_100g-SN55_100g"
"MAGENTO","China Special Darjeeling Black Tea","0.00","","SN34_100g-SN34_100g","SN34_100g-SN34_100g"
"MAGENTO","North East Exclusive Green Tea","0.00","","SN5_100g-SN5_50g","SN5_100g-SN5_50g"
"MAGENTO","Namring Upper Darjeeling Black Tea","0.00","","SN45_100g-SN45_50g","SN45_100g-SN45_50g"
"MAGENTO","Darjeeling Summer Green Tea","0.00","","SN3_100g-SN3_100g","SN3_100g-SN3_100g"
"MAGENTO","GOPALDHARA PREMIUM GREEN TEA","0.00","","SN83-SN83_100g","SN83-SN83_100g"
"MAGENTO","Clonal Musk Darjeeling Black Tea","0.00","","SN33_100g-SN33_100g","SN33_100g-SN33_100g"
"MAGENTO","Jasmine Green Tea","0.00","","SN61_100g-SN61_100g","SN61_100g-SN61_100g"
"MAGENTO","Darjeeling Classic Chinary Black Tea","0.00","","SN36_100g-SN36_100g","SN36_100g-SN36_100g"
"MAGENTO","Rohini Clonal Darjeeling Black Tea","0.00","","SN25_100g-SN25_100g","SN25_100g-SN25_100g"
